scenario,seed,opt_kept,repair_kept,repair_ms,opt_ms,repair_verified
S1,42,0.8333,0.75,0.63,2.413,True
S1,43,0.6667,0.6667,0.554,0.674,True
S1,44,0.5833,0.4167,1.039,1.218,True
S1,45,0.5,0.5,0.911,1.086,True
S1,46,0.75,0.6667,0.553,1.055,True
S1,47,0.4167,0.3333,0.854,1.039,True
S1,48,0.8333,0.8333,0.537,0.947,True
S1,49,0.5833,0.5833,0.683,0.868,True
S1,50,0.9167,0.9167,0.468,0.958,True
S1,51,0.5833,0.5,0.891,1.013,True
S1,52,0.4167,0.25,0.84,0.907,True
S1,53,0.75,0.75,0.554,0.846,True
S1,54,0.4167,0.3333,0.675,1.171,True
S1,55,0.5,0.3333,1.404,1.907,True
S1,56,0.5,0.3333,0.958,1.018,True
S1,57,0.6667,0.4167,0.717,1.447,True
S1,58,0.75,0.5833,0.811,1.331,True
S1,59,0.6667,0.5,0.665,0.928,True
S1,60,0.75,0.75,0.575,1.141,True
S1,61,0.8333,0.5833,0.753,1.131,True
S1,62,0.75,0.75,0.642,1.63,True
S1,63,0.8333,0.75,0.522,1.383,True
S1,64,0.75,0.6667,0.835,1.088,True
S1,65,0.75,0.6667,1.019,1.617,True
S1,66,0.6667,0.5833,1.11,1.568,True
S1,67,0.6667,0.5,0.631,0.819,True
S1,68,0.75,0.6667,0.525,0.722,True
S1,69,0.5833,0.5,1.422,1.276,True
S1,70,0.8333,0.75,0.508,1.517,True
S1,71,0.75,0.6667,0.675,1.181,True
S1,72,0.6667,0.6667,0.556,0.745,True
S1,73,0.75,0.6667,0.965,1.381,True
S1,74,0.75,0.6667,0.635,1.769,True
S1,75,0.5833,0.4167,0.549,0.776,True
S1,76,0.75,0.75,0.545,0.97,True
S1,77,0.8333,0.75,0.49,0.973,True
S1,78,0.75,0.6667,0.513,1.18,True
S1,79,0.8333,0.8333,0.43,0.9,True
S1,80,0.5833,0.5,0.812,0.918,True
S1,81,0.5833,0.5,0.897,0.857,True
S1,82,0.5,0.25,1.459,1.483,True
S1,83,0.3333,0.25,0.638,2.402,True
S1,84,0.5833,0.5833,0.578,1.221,True
S1,85,0.6667,0.5,0.517,0.693,True
S1,86,0.5833,0.5,0.594,0.784,True
S1,87,0.5,0.5,0.619,1.323,True
S1,88,0.75,0.75,0.552,1.431,True
S1,89,0.6667,0.5,0.536,1.41,True
S1,90,0.5833,0.5833,0.738,0.828,True
S1,91,0.75,0.5,1.09,1.388,True
S2,42,0.7222,0.5556,0.912,2.059,True
S2,43,0.7222,0.6111,0.969,2.069,True
S2,44,0.6111,0.3333,1.529,1.832,True
S2,45,0.7222,0.6111,1.125,1.26,True
S2,46,0.5556,0.4444,1.36,2.314,True
S2,47,0.5,0.2778,1.729,1.835,True
S2,48,0.4444,0.3333,1.309,1.256,True
S2,49,0.6111,0.5556,1.244,2.266,True
S2,50,0.5556,0.5,1.417,1.861,True
S2,51,0.4444,0.4444,1.278,1.47,True
S2,52,0.7222,0.6111,1.549,2.123,True
S2,53,0.7222,0.6111,1.304,2.046,True
S2,54,0.6111,0.5556,0.788,2.087,True
S2,55,0.5556,0.5556,0.726,1.611,True
S2,56,0.5556,0.5556,0.937,1.259,True
S2,57,0.7222,0.6111,1.499,2.118,True
S2,58,0.5556,0.4444,1.173,2.518,True
S2,59,0.6667,0.6111,1.085,1.632,True
S2,60,0.6667,0.5556,1.003,1.801,True
S2,61,0.5,0.3333,1.866,1.829,True
S2,62,0.5,0.4444,1.26,1.307,True
S2,63,0.6667,0.6111,0.996,2.29,True
S2,64,0.6667,0.6667,0.724,1.402,True
S2,65,0.5556,0.5,1.726,1.64,True
S2,66,0.6111,0.5556,1.131,1.43,True
S2,67,0.5556,0.2222,1.542,1.729,True
S2,68,0.8333,0.8333,0.496,2.638,True
S2,69,0.6111,0.4444,1.958,2.26,True
S2,70,0.7778,0.6667,0.802,2.065,True
S2,71,0.5556,0.5,1.392,1.896,True
S2,72,0.6667,0.6111,0.644,1.513,True
S2,73,0.6667,0.5556,1.642,2.11,True
S2,74,0.6111,0.4444,1.944,2.807,True
S2,75,0.5556,0.5,1.117,1.215,True
S2,76,0.6111,0.5,1.334,3.021,True
S2,77,0.5556,0.4444,0.702,0.948,True
S2,78,0.6667,0.5,1.315,1.275,True
S2,79,0.7778,0.6667,0.958,1.942,True
S2,80,0.7222,0.5556,0.952,2.36,True
S2,81,0.5556,0.5,0.85,2.568,True
S2,82,0.6667,0.5556,1.146,1.875,True
S2,83,0.5556,0.4444,1.463,1.313,True
S2,84,0.7222,0.6667,0.944,2.121,True
S2,85,0.5,0.1667,1.443,2.243,True
S2,86,0.5556,0.5556,1.018,1.241,True
S2,87,0.6111,0.5556,1.105,1.534,True
S2,88,0.6667,0.6667,1.157,1.473,True
S2,89,0.4444,0.3333,1.077,1.314,True
S2,90,0.7222,0.6111,1.512,2.407,True
S2,91,0.5,0.4444,1.002,2.132,True
S3,42,0.6,0.2,1.615,1.542,True
S3,43,0.6,0.45,1.391,2.426,True
S3,44,0.65,0.55,1.292,3.239,True
S3,45,0.65,0.5,1.599,1.823,True
S3,46,0.65,0.6,0.851,2.074,True
S3,47,0.6,0.5,1.248,1.601,True
S3,48,0.65,0.45,2.894,2.183,True
S3,49,0.8,0.7,0.698,2.222,True
S3,50,0.6,0.4,1.395,10.671,True
S3,51,0.65,0.65,0.711,1.894,True
S3,52,0.7,0.55,1.818,3.044,True
S3,53,0.5,0.25,2.487,2.926,True
S3,54,0.65,0.5,1.703,2.782,True
S3,55,0.7,0.55,1.137,3.006,True
S3,56,0.55,0.4,1.815,2.37,True
S3,57,0.65,0.65,1.302,2.178,True
S3,58,0.75,0.65,1.312,2.073,True
S3,59,0.65,0.5,0.814,2.505,True
S3,60,0.75,0.5,1.834,3.547,True
S3,61,0.7,0.55,0.824,3.049,True
S3,62,0.6,0.45,1.494,2.376,True
S3,63,0.6,0.5,1.22,2.222,True
S3,64,0.55,0.3,2.345,2.555,True
S3,65,0.5,0.5,1.853,2.426,True
S3,66,0.7,0.6,1.101,1.654,True
S3,67,0.55,0.45,1.157,1.969,True
S3,68,0.5,0.15,2.109,2.403,True
S3,69,0.65,0.6,1.13,2.269,True
S3,70,0.6,0.5,1.156,1.705,True
S3,71,0.65,0.55,1.237,1.794,True
S3,72,0.65,0.45,1.235,2.17,True
S3,73,0.65,0.5,2.336,3.067,True
S3,74,0.6,0.5,1.591,1.811,True
S3,75,0.6,0.5,1.546,2.065,True
S3,76,0.6,0.35,1.623,2.486,True
S3,77,0.4,0.3,1.173,2.378,True
S3,78,0.6,0.4,1.89,2.194,True
S3,79,0.7,0.65,1.778,2.872,True
S3,80,0.6,0.4,1.458,2.48,True
S3,81,0.6,0.45,1.476,2.195,True
S3,82,0.65,0.5,1.147,1.219,True
S3,83,0.45,0.35,1.078,1.403,True
S3,84,0.55,0.4,1.686,2.071,True
S3,85,0.65,0.65,0.865,2.635,True
S3,86,0.55,0.55,0.819,1.6,True
S3,87,0.9,0.8,0.616,2.344,True
S3,88,0.7,0.65,1.199,1.699,True
S3,89,0.55,0.45,1.578,2.666,True
S3,90,0.7,0.65,1.043,1.957,True
S3,91,0.55,0.5,0.902,2.048,True
S4,42,0.75,0.5,1.727,3.797,True
S4,43,0.875,0.8333,1.025,3.413,True
S4,44,0.75,0.625,1.676,3.082,True
S4,45,0.6667,0.5833,1.04,1.723,True
S4,46,0.7083,0.5417,1.632,2.732,True
S4,47,0.625,0.5417,0.985,2.454,True
S4,48,0.5833,0.375,2.644,2.725,True
S4,49,0.7083,0.625,1.428,3.206,True
S4,50,0.7083,0.625,1.31,2.454,True
S4,51,0.5417,0.375,2.094,2.953,True
S4,52,0.6667,0.5417,1.297,3.583,True
S4,53,0.625,0.4167,1.562,3.752,True
S4,54,0.7083,0.4583,2.797,3.547,True
S4,55,0.625,0.5417,2.034,3.562,True
S4,56,0.5,0.375,1.122,2.472,True
S4,57,0.75,0.6667,1.186,3.003,True
S4,58,0.7083,0.625,1.449,3.231,True
S4,59,0.5833,0.4583,1.271,3.388,True
S4,60,0.75,0.5833,1.18,3.156,True
S4,61,0.7083,0.5833,1.61,3.544,True
S4,62,0.625,0.5,1.277,2.497,True
S4,63,0.6667,0.5417,1.169,2.828,True
S4,64,0.5417,0.5,1.319,1.413,True
S4,65,0.75,0.6667,0.752,2.886,True
S4,66,0.7083,0.6667,0.955,2.528,True
S4,67,0.7083,0.5417,0.952,1.974,True
S4,68,0.625,0.5,1.745,2.968,True
S4,69,0.6667,0.5,1.879,2.981,True
S4,70,0.7083,0.5833,1.274,2.288,True
S4,71,0.625,0.4167,2.398,2.85,True
S4,72,0.5833,0.3333,1.904,2.876,True
S4,73,0.5,0.3333,2.119,2.314,True
S4,74,0.75,0.7083,0.816,2.09,True
S4,75,0.7083,0.5417,2.388,4.423,True
S4,76,0.625,0.625,1.366,1.548,True
S4,77,0.75,0.6667,0.974,2.908,True
S4,78,0.75,0.5,1.598,3.529,True
S4,79,0.6667,0.5833,1.69,2.995,True
S4,80,0.5833,0.25,3.02,4.035,True
S4,81,0.6667,0.5,1.549,3.334,True
S4,82,0.75,0.625,1.026,2.584,True
S4,83,0.5833,0.5417,1.932,3.132,True
S4,84,0.75,0.6667,1.484,3.339,True
S4,85,0.7083,0.5833,1.696,3.077,True
S4,86,0.7083,0.5,1.434,3.522,True
S4,87,0.5833,0.5417,1.168,1.759,True
S4,88,0.75,0.7083,1.198,2.83,True
S4,89,0.5833,0.4167,1.257,2.242,True
S4,90,0.8333,0.7917,0.794,2.013,True
S4,91,0.5833,0.5,1.555,1.857,True
S5,42,0.6667,0.4667,1.421,4.297,True
S5,43,0.5333,0.4333,1.784,3.141,True
S5,44,0.8,0.8,0.777,3.885,True
S5,45,0.7333,0.6,1.225,2.576,True
S5,46,0.5333,0.4,2.168,4.568,True
S5,47,0.5333,0.5333,2.284,2.003,True
S5,48,0.7,0.6,1.909,3.859,True
S5,49,0.7,0.5333,1.053,3.59,True
S5,50,0.5667,0.5,1.418,1.917,True
S5,51,0.5333,0.4,1.882,1.9,True
S5,52,0.5333,0.4667,1.537,2.147,True
S5,53,0.6,0.4333,2.371,2.922,True
S5,54,0.7333,0.6,1.557,4.378,True
S5,55,0.7,0.6333,1.466,3.72,True
S5,56,0.5667,0.4667,1.478,2.851,True
S5,57,0.6,0.5,1.531,4.036,True
S5,58,0.7333,0.7,1.053,4.109,True
S5,59,0.6333,0.5333,1.976,2.569,True
S5,60,0.8,0.7333,1.015,2.881,True
S5,61,0.7333,0.6,1.247,3.152,True
S5,62,0.8,0.7333,1.437,3.862,True
S5,63,0.5667,0.4,1.998,2.85,True
S5,64,0.6333,0.5333,2.311,2.896,True
S5,65,0.5,0.3333,2.827,2.696,True
S5,66,0.7,0.6,1.453,2.048,True
S5,67,0.6,0.5333,1.96,3.586,True
S5,68,0.7,0.5667,1.209,3.923,True
S5,69,0.7667,0.7667,1.083,3.973,True
S5,70,0.7667,0.6667,1.518,3.058,True
S5,71,0.6333,0.5,1.572,3.33,True
S5,72,0.6333,0.5333,1.146,2.538,True
S5,73,0.6333,0.4667,2.555,3.976,True
S5,74,0.7667,0.7,1.326,3.362,True
S5,75,0.8333,0.7667,0.949,4.024,True
S5,76,0.5,0.5,2.153,3.847,True
S5,77,0.6,0.4667,1.278,2.822,True
S5,78,0.6333,0.5333,1.842,3.449,True
S5,79,0.6333,0.5667,1.809,2.924,True
S5,80,0.6667,0.6,2.331,4.234,True
S5,81,0.6333,0.5667,1.63,3.887,True
S5,82,0.6667,0.6333,1.65,2.576,True
S5,83,0.6333,0.5333,1.226,1.645,True
S5,84,0.7,0.6,2.298,3.846,True
S5,85,0.6667,0.5667,1.402,3.416,True
S5,86,0.7667,0.7333,0.908,3.021,True
S5,87,0.7333,0.6333,1.165,2.893,True
S5,88,0.6,0.5333,1.917,2.406,True
S5,89,0.7333,0.6333,1.368,3.672,True
S5,90,0.5667,0.5333,1.73,1.923,True
S5,91,0.5,0.3,1.867,2.386,True
