suite,instance,seed,num_variables,domain_size,density,strategy,success,status,initial_core_size,final_core_size,expansions,total_time_ns,full_scope_required
structural,d2_c24,42,24,2,1.0,radius1,True,optimal,9,9,0,2859000,False
structural,d2_c24,42,24,2,1.0,explanation,True,optimal,5,5,0,586600,False
structural,d2_c24,42,24,2,1.0,fullscope,True,optimal,24,24,0,981300,True
structural,d2_c24,44,24,2,1.0,radius1,True,optimal,8,8,0,563000,False
structural,d2_c24,44,24,2,1.0,explanation,True,optimal,5,5,0,512800,False
structural,d2_c24,44,24,2,1.0,fullscope,True,optimal,24,24,0,989800,True
structural,d2_c24,45,24,2,1.0,radius1,True,optimal,11,11,0,751400,False
structural,d2_c24,45,24,2,1.0,explanation,True,optimal,6,6,0,605800,False
structural,d2_c24,45,24,2,1.0,fullscope,True,optimal,24,24,0,1016500,True
structural,d2_c24,46,24,2,1.0,radius1,True,optimal,4,4,0,435300,False
structural,d2_c24,46,24,2,1.0,explanation,True,optimal,2,2,0,342200,False
structural,d2_c24,46,24,2,1.0,fullscope,True,optimal,24,24,0,969000,True
structural,d2_c24,47,24,2,1.0,radius1,True,optimal,9,9,0,676300,False
structural,d2_c24,47,24,2,1.0,explanation,True,optimal,5,5,0,477400,False
structural,d2_c24,47,24,2,1.0,fullscope,True,optimal,24,24,0,964000,True
structural,d2_c24,48,24,2,1.0,radius1,True,optimal,4,4,0,401100,False
structural,d2_c24,48,24,2,1.0,explanation,True,optimal,2,2,0,357000,False
structural,d2_c24,48,24,2,1.0,fullscope,True,optimal,24,24,0,937700,True
structural,d2_c24,49,24,2,1.0,radius1,True,optimal,4,4,0,458100,False
structural,d2_c24,49,24,2,1.0,explanation,True,optimal,2,2,0,372600,False
structural,d2_c24,49,24,2,1.0,fullscope,True,optimal,24,24,0,942800,True
structural,d2_c24,50,24,2,1.0,radius1,True,optimal,4,4,0,421800,False
structural,d2_c24,50,24,2,1.0,explanation,True,optimal,2,2,0,349300,False
structural,d2_c24,50,24,2,1.0,fullscope,True,optimal,24,24,0,926800,True
structural,d2_c24,51,24,2,1.0,radius1,True,optimal,12,12,0,727100,False
structural,d2_c24,51,24,2,1.0,explanation,True,optimal,6,6,0,619600,False
structural,d2_c24,51,24,2,1.0,fullscope,True,optimal,24,24,0,934400,True
structural,d2_c36,42,24,2,1.5,radius1,True,optimal,18,18,0,1267900,False
structural,d2_c36,42,24,2,1.5,explanation,True,optimal,6,6,0,822000,False
structural,d2_c36,42,24,2,1.5,fullscope,True,optimal,24,24,0,1115600,True
structural,d2_c36,43,24,2,1.5,radius1,True,optimal,6,6,0,674900,False
structural,d2_c36,43,24,2,1.5,explanation,True,optimal,2,2,0,495300,False
structural,d2_c36,43,24,2,1.5,fullscope,True,optimal,24,24,0,1101600,True
structural,d2_c36,44,24,2,1.5,radius1,True,optimal,10,10,0,808100,False
structural,d2_c36,44,24,2,1.5,explanation,True,optimal,5,5,0,537800,False
structural,d2_c36,44,24,2,1.5,fullscope,True,optimal,24,24,0,1011000,True
structural,d2_c36,45,24,2,1.5,radius1,True,optimal,17,17,0,988700,False
structural,d2_c36,45,24,2,1.5,explanation,True,optimal,7,7,0,781200,False
structural,d2_c36,45,24,2,1.5,fullscope,True,optimal,24,24,0,1075700,True
structural,d2_c36,46,24,2,1.5,radius1,True,optimal,13,13,0,983000,False
structural,d2_c36,46,24,2,1.5,explanation,True,optimal,4,4,0,651100,False
structural,d2_c36,46,24,2,1.5,fullscope,True,optimal,24,24,0,1071400,True
structural,d2_c36,47,24,2,1.5,radius1,True,optimal,15,15,0,1020900,False
structural,d2_c36,47,24,2,1.5,explanation,True,optimal,8,8,0,718700,False
structural,d2_c36,47,24,2,1.5,fullscope,True,optimal,24,24,0,1123000,True
structural,d2_c36,48,24,2,1.5,radius1,True,optimal,12,12,0,1013900,False
structural,d2_c36,48,24,2,1.5,explanation,True,optimal,4,4,0,586300,False
structural,d2_c36,48,24,2,1.5,fullscope,True,optimal,24,24,0,1148300,True
structural,d2_c36,49,24,2,1.5,radius1,True,optimal,9,9,0,716300,False
structural,d2_c36,49,24,2,1.5,explanation,True,optimal,4,10,2,1040300,False
structural,d2_c36,49,24,2,1.5,fullscope,True,optimal,24,24,0,1106700,True
structural,d2_c36,50,24,2,1.5,radius1,True,optimal,15,15,0,977000,False
structural,d2_c36,50,24,2,1.5,explanation,True,optimal,5,5,0,679000,False
structural,d2_c36,50,24,2,1.5,fullscope,True,optimal,24,24,0,1137000,True
structural,d2_c36,51,24,2,1.5,radius1,True,optimal,15,15,0,999000,False
structural,d2_c36,51,24,2,1.5,explanation,True,optimal,7,7,0,756300,False
structural,d2_c36,51,24,2,1.5,fullscope,True,optimal,24,24,0,1045700,True
structural,d2_c48,42,24,2,2.0,radius1,True,optimal,20,20,0,1199900,False
structural,d2_c48,42,24,2,2.0,explanation,True,optimal,7,7,0,1018800,False
structural,d2_c48,42,24,2,2.0,fullscope,True,optimal,24,24,0,1188200,True
structural,d2_c48,43,24,2,2.0,radius1,True,optimal,17,17,0,1117100,False
structural,d2_c48,43,24,2,2.0,explanation,True,optimal,6,6,0,837900,False
structural,d2_c48,43,24,2,2.0,fullscope,True,optimal,24,24,0,1345100,True
structural,d2_c48,44,24,2,2.0,radius1,True,optimal,17,17,0,1159700,False
structural,d2_c48,44,24,2,2.0,explanation,True,optimal,8,8,0,898400,False
structural,d2_c48,44,24,2,2.0,fullscope,True,optimal,24,24,0,1169300,True
structural,d2_c48,45,24,2,2.0,radius1,True,optimal,19,19,0,1183400,False
structural,d2_c48,45,24,2,2.0,explanation,True,optimal,9,9,0,1007000,False
structural,d2_c48,45,24,2,2.0,fullscope,True,optimal,24,24,0,1213600,True
structural,d2_c48,46,24,2,2.0,radius1,True,optimal,14,14,0,1090500,False
structural,d2_c48,46,24,2,2.0,explanation,True,optimal,5,5,0,754300,False
structural,d2_c48,46,24,2,2.0,fullscope,True,optimal,24,24,0,1217400,True
structural,d2_c48,47,24,2,2.0,radius1,True,optimal,20,20,0,1216400,False
structural,d2_c48,47,24,2,2.0,explanation,True,optimal,10,10,0,1060100,False
structural,d2_c48,47,24,2,2.0,fullscope,True,optimal,24,24,0,1196100,True
structural,d2_c48,48,24,2,2.0,radius1,True,optimal,14,14,0,1220900,False
structural,d2_c48,48,24,2,2.0,explanation,True,optimal,4,17,2,1506100,False
structural,d2_c48,48,24,2,2.0,fullscope,True,optimal,24,24,0,1235600,True
structural,d2_c48,49,24,2,2.0,radius1,True,optimal,18,18,0,1119500,False
structural,d2_c48,49,24,2,2.0,explanation,True,optimal,6,18,2,1479800,False
structural,d2_c48,49,24,2,2.0,fullscope,True,optimal,24,24,0,1215200,True
structural,d2_c48,50,24,2,2.0,radius1,True,optimal,16,16,0,1231500,False
structural,d2_c48,50,24,2,2.0,explanation,True,optimal,5,5,0,764800,False
structural,d2_c48,50,24,2,2.0,fullscope,True,optimal,24,24,0,1236500,True
structural,d2_c48,51,24,2,2.0,radius1,True,optimal,18,18,0,1273100,False
structural,d2_c48,51,24,2,2.0,explanation,True,optimal,9,9,0,949900,False
structural,d2_c48,51,24,2,2.0,fullscope,True,optimal,24,24,0,1166300,True
structural,d2_c72,42,24,2,3.0,radius1,True,optimal,24,24,0,1555700,True
structural,d2_c72,42,24,2,3.0,explanation,True,optimal,10,10,0,1494300,False
structural,d2_c72,42,24,2,3.0,fullscope,True,optimal,24,24,0,1522500,True
structural,d2_c72,43,24,2,3.0,radius1,True,optimal,21,21,0,1512100,False
structural,d2_c72,43,24,2,3.0,explanation,True,optimal,8,8,0,1285200,False
structural,d2_c72,43,24,2,3.0,fullscope,True,optimal,24,24,0,1441500,True
structural,d2_c72,44,24,2,3.0,radius1,True,optimal,22,22,0,1489200,False
structural,d2_c72,44,24,2,3.0,explanation,True,optimal,10,10,0,1272400,False
structural,d2_c72,44,24,2,3.0,fullscope,True,optimal,24,24,0,1470700,True
structural,d2_c72,45,24,2,3.0,radius1,True,optimal,23,23,0,1517800,False
structural,d2_c72,45,24,2,3.0,explanation,True,optimal,10,10,0,1313000,False
structural,d2_c72,45,24,2,3.0,fullscope,True,optimal,24,24,0,1506000,True
structural,d2_c72,46,24,2,3.0,radius1,True,optimal,24,24,0,2764900,True
structural,d2_c72,46,24,2,3.0,explanation,True,optimal,12,12,0,2258600,False
structural,d2_c72,46,24,2,3.0,fullscope,True,optimal,24,24,0,1508300,True
structural,d2_c72,47,24,2,3.0,radius1,True,optimal,23,23,0,1589800,False
structural,d2_c72,47,24,2,3.0,explanation,True,optimal,12,12,0,1495700,False
structural,d2_c72,47,24,2,3.0,fullscope,True,optimal,24,24,0,1522400,True
structural,d2_c72,48,24,2,3.0,radius1,True,optimal,20,20,0,1584100,False
structural,d2_c72,48,24,2,3.0,explanation,True,optimal,7,7,0,1143100,False
structural,d2_c72,48,24,2,3.0,fullscope,True,optimal,24,24,0,1530000,True
structural,d2_c72,49,24,2,3.0,radius1,True,optimal,23,23,0,1543700,False
structural,d2_c72,49,24,2,3.0,explanation,True,optimal,9,9,0,1254100,False
structural,d2_c72,49,24,2,3.0,fullscope,True,optimal,24,24,0,1453900,True
structural,d2_c72,50,24,2,3.0,radius1,True,optimal,21,21,0,1517400,False
structural,d2_c72,50,24,2,3.0,explanation,True,optimal,6,6,0,1185000,False
structural,d2_c72,50,24,2,3.0,fullscope,True,optimal,24,24,0,1517600,True
structural,d2_c72,51,24,2,3.0,radius1,True,optimal,23,23,0,1535800,False
structural,d2_c72,51,24,2,3.0,explanation,True,optimal,12,12,0,1345000,False
structural,d2_c72,51,24,2,3.0,fullscope,True,optimal,24,24,0,1450800,True
structural,d4_c24,42,24,4,1.0,radius1,True,optimal,13,13,0,1009000,False
structural,d4_c24,42,24,4,1.0,explanation,True,optimal,6,6,0,728900,False
structural,d4_c24,42,24,4,1.0,fullscope,True,optimal,24,24,0,4283100,True
structural,d4_c24,43,24,4,1.0,radius1,True,optimal,10,10,0,1314600,False
structural,d4_c24,43,24,4,1.0,explanation,True,optimal,6,6,0,668800,False
structural,d4_c24,43,24,4,1.0,fullscope,True,optimal,24,24,0,3903200,True
structural,d4_c24,44,24,4,1.0,radius1,True,optimal,15,15,0,1149700,False
structural,d4_c24,44,24,4,1.0,explanation,True,optimal,9,9,0,788900,False
structural,d4_c24,44,24,4,1.0,fullscope,True,optimal,24,24,0,4030900,True
structural,d4_c24,45,24,4,1.0,radius1,True,optimal,13,13,0,1123800,False
structural,d4_c24,45,24,4,1.0,explanation,True,optimal,9,9,0,709800,False
structural,d4_c24,45,24,4,1.0,fullscope,True,optimal,24,24,0,3878100,True
structural,d4_c24,46,24,4,1.0,radius1,True,optimal,4,4,0,468900,False
structural,d4_c24,46,24,4,1.0,explanation,True,optimal,2,2,0,356800,False
structural,d4_c24,46,24,4,1.0,fullscope,True,optimal,24,24,0,4407200,True
structural,d4_c24,47,24,4,1.0,radius1,True,optimal,10,10,0,980500,False
structural,d4_c24,47,24,4,1.0,explanation,True,optimal,6,6,0,626000,False
structural,d4_c24,47,24,4,1.0,fullscope,True,optimal,24,24,0,4640100,True
structural,d4_c24,48,24,4,1.0,radius1,True,optimal,13,13,0,1875900,False
structural,d4_c24,48,24,4,1.0,explanation,True,optimal,7,7,0,787900,False
structural,d4_c24,48,24,4,1.0,fullscope,True,optimal,24,24,0,3951100,True
structural,d4_c24,49,24,4,1.0,radius1,True,optimal,11,11,0,827300,False
structural,d4_c24,49,24,4,1.0,explanation,True,optimal,7,7,0,660600,False
structural,d4_c24,49,24,4,1.0,fullscope,True,optimal,24,24,0,4536500,True
structural,d4_c24,50,24,4,1.0,radius1,True,optimal,10,10,0,827300,False
structural,d4_c24,50,24,4,1.0,explanation,True,optimal,5,5,0,609100,False
structural,d4_c24,50,24,4,1.0,fullscope,True,optimal,24,24,0,4156100,True
structural,d4_c24,51,24,4,1.0,radius1,True,optimal,12,12,0,928100,False
structural,d4_c24,51,24,4,1.0,explanation,True,optimal,6,6,0,622300,False
structural,d4_c24,51,24,4,1.0,fullscope,True,optimal,24,24,0,3921200,True
structural,d4_c36,42,24,4,1.5,radius1,True,optimal,19,19,0,1302400,False
structural,d4_c36,42,24,4,1.5,explanation,True,optimal,8,8,0,913100,False
structural,d4_c36,42,24,4,1.5,fullscope,True,optimal,24,24,0,2786000,True
structural,d4_c36,43,24,4,1.5,radius1,True,optimal,15,15,0,1121500,False
structural,d4_c36,43,24,4,1.5,explanation,True,optimal,7,7,0,782600,False
structural,d4_c36,43,24,4,1.5,fullscope,True,optimal,24,24,0,1903000,True
structural,d4_c36,44,24,4,1.5,radius1,True,optimal,18,18,0,1315400,False
structural,d4_c36,44,24,4,1.5,explanation,True,optimal,9,9,0,952600,False
structural,d4_c36,44,24,4,1.5,fullscope,True,optimal,24,24,0,1572800,True
structural,d4_c36,45,24,4,1.5,radius1,True,optimal,19,19,0,1173500,False
structural,d4_c36,45,24,4,1.5,explanation,True,optimal,10,10,0,917100,False
structural,d4_c36,45,24,4,1.5,fullscope,True,optimal,24,24,0,1543200,True
structural,d4_c36,46,24,4,1.5,radius1,True,optimal,20,20,0,1146100,False
structural,d4_c36,46,24,4,1.5,explanation,True,optimal,8,8,0,964600,False
structural,d4_c36,46,24,4,1.5,fullscope,True,optimal,24,24,0,1350700,True
structural,d4_c36,47,24,4,1.5,radius1,True,optimal,13,13,0,1123800,False
structural,d4_c36,47,24,4,1.5,explanation,True,optimal,6,6,0,721200,False
structural,d4_c36,47,24,4,1.5,fullscope,True,optimal,24,24,0,2096600,True
structural,d4_c36,48,24,4,1.5,radius1,True,optimal,17,17,0,1773100,False
structural,d4_c36,48,24,4,1.5,explanation,True,optimal,8,8,0,1004400,False
structural,d4_c36,48,24,4,1.5,fullscope,True,optimal,24,24,0,2176800,True
structural,d4_c36,49,24,4,1.5,radius1,True,optimal,13,13,0,1043900,False
structural,d4_c36,49,24,4,1.5,explanation,True,optimal,7,7,0,745200,False
structural,d4_c36,49,24,4,1.5,fullscope,True,optimal,24,24,0,1883500,True
structural,d4_c36,50,24,4,1.5,radius1,True,optimal,19,19,0,1159000,False
structural,d4_c36,50,24,4,1.5,explanation,True,optimal,8,8,0,942000,False
structural,d4_c36,50,24,4,1.5,fullscope,True,optimal,24,24,0,3920000,True
structural,d4_c36,51,24,4,1.5,radius1,True,optimal,15,15,0,1091300,False
structural,d4_c36,51,24,4,1.5,explanation,True,optimal,7,7,0,749300,False
structural,d4_c36,51,24,4,1.5,fullscope,True,optimal,24,24,0,1644600,True
structural,d4_c48,42,24,4,2.0,radius1,True,optimal,20,20,0,1567500,False
structural,d4_c48,42,24,4,2.0,explanation,True,optimal,9,9,0,1152300,False
structural,d4_c48,42,24,4,2.0,fullscope,True,optimal,24,24,0,2784300,True
structural,d4_c48,43,24,4,2.0,radius1,True,optimal,17,17,0,1230700,False
structural,d4_c48,43,24,4,2.0,explanation,True,optimal,8,8,0,1031800,False
structural,d4_c48,43,24,4,2.0,fullscope,True,optimal,24,24,0,1446600,True
structural,d4_c48,44,24,4,2.0,radius1,True,optimal,19,19,0,1296700,False
structural,d4_c48,44,24,4,2.0,explanation,True,optimal,9,9,0,1012800,False
structural,d4_c48,44,24,4,2.0,fullscope,True,optimal,24,24,0,1472200,True
structural,d4_c48,45,24,4,2.0,radius1,True,optimal,24,24,0,1522700,True
structural,d4_c48,45,24,4,2.0,explanation,True,optimal,13,13,0,1518000,False
structural,d4_c48,45,24,4,2.0,fullscope,True,optimal,24,24,0,1566000,True
structural,d4_c48,46,24,4,2.0,radius1,True,optimal,22,22,0,1358800,False
structural,d4_c48,46,24,4,2.0,explanation,True,optimal,9,9,0,1105100,False
structural,d4_c48,46,24,4,2.0,fullscope,True,optimal,24,24,0,1400600,True
structural,d4_c48,47,24,4,2.0,radius1,True,optimal,17,17,0,1235700,False
structural,d4_c48,47,24,4,2.0,explanation,True,optimal,9,9,0,977600,False
structural,d4_c48,47,24,4,2.0,fullscope,True,optimal,24,24,0,1371600,True
structural,d4_c48,48,24,4,2.0,radius1,True,optimal,19,19,0,1469300,False
structural,d4_c48,48,24,4,2.0,explanation,True,optimal,9,9,0,1070400,False
structural,d4_c48,48,24,4,2.0,fullscope,True,optimal,24,24,0,1690100,True
structural,d4_c48,49,24,4,2.0,radius1,True,optimal,20,20,0,1324600,False
structural,d4_c48,49,24,4,2.0,explanation,True,optimal,9,9,0,1299400,False
structural,d4_c48,49,24,4,2.0,fullscope,True,optimal,24,24,0,1664800,True
structural,d4_c48,50,24,4,2.0,radius1,True,optimal,21,21,0,1432000,False
structural,d4_c48,50,24,4,2.0,explanation,True,optimal,9,9,0,1255100,False
structural,d4_c48,50,24,4,2.0,fullscope,True,optimal,24,24,0,1413500,True
structural,d4_c48,51,24,4,2.0,radius1,True,optimal,17,17,0,1304100,False
structural,d4_c48,51,24,4,2.0,explanation,True,optimal,7,7,0,907000,False
structural,d4_c48,51,24,4,2.0,fullscope,True,optimal,24,24,0,1413600,True
structural,d4_c72,42,24,4,3.0,radius1,True,optimal,24,24,0,1836400,True
structural,d4_c72,42,24,4,3.0,explanation,True,optimal,12,12,0,1443500,False
structural,d4_c72,42,24,4,3.0,fullscope,True,optimal,24,24,0,1752000,True
structural,d4_c72,43,24,4,3.0,radius1,True,optimal,23,23,0,1874100,False
structural,d4_c72,43,24,4,3.0,explanation,True,optimal,12,12,0,1684300,False
structural,d4_c72,43,24,4,3.0,fullscope,True,optimal,24,24,0,1662100,True
structural,d4_c72,44,24,4,3.0,radius1,True,optimal,24,24,0,1741200,True
structural,d4_c72,44,24,4,3.0,explanation,True,optimal,12,12,0,1504200,False
structural,d4_c72,44,24,4,3.0,fullscope,True,optimal,24,24,0,1682200,True
structural,d4_c72,45,24,4,3.0,radius1,True,optimal,24,24,0,1722900,True
structural,d4_c72,45,24,4,3.0,explanation,True,optimal,13,13,0,1586300,False
structural,d4_c72,45,24,4,3.0,fullscope,True,optimal,24,24,0,1759200,True
structural,d4_c72,46,24,4,3.0,radius1,True,optimal,24,24,0,1893300,True
structural,d4_c72,46,24,4,3.0,explanation,True,optimal,11,11,0,1615800,False
structural,d4_c72,46,24,4,3.0,fullscope,True,optimal,24,24,0,1748000,True
structural,d4_c72,47,24,4,3.0,radius1,True,optimal,23,23,0,1679900,False
structural,d4_c72,47,24,4,3.0,explanation,True,optimal,11,11,0,1397900,False
structural,d4_c72,47,24,4,3.0,fullscope,True,optimal,24,24,0,1647600,True
structural,d4_c72,48,24,4,3.0,radius1,True,optimal,23,23,0,1723600,False
structural,d4_c72,48,24,4,3.0,explanation,True,optimal,11,11,0,1450300,False
structural,d4_c72,48,24,4,3.0,fullscope,True,optimal,24,24,0,1670500,True
structural,d4_c72,49,24,4,3.0,radius1,True,optimal,23,23,0,1704200,False
structural,d4_c72,49,24,4,3.0,explanation,True,optimal,12,12,0,1665200,False
structural,d4_c72,49,24,4,3.0,fullscope,True,optimal,24,24,0,1775300,True
structural,d4_c72,50,24,4,3.0,radius1,True,optimal,24,24,0,1700800,True
structural,d4_c72,50,24,4,3.0,explanation,True,optimal,12,12,0,1576600,False
structural,d4_c72,50,24,4,3.0,fullscope,True,optimal,24,24,0,1653100,True
structural,d4_c72,51,24,4,3.0,radius1,True,optimal,23,23,0,1719100,False
structural,d4_c72,51,24,4,3.0,explanation,True,optimal,10,10,0,1513800,False
structural,d4_c72,51,24,4,3.0,fullscope,True,optimal,24,24,0,1681900,True
structural,d8_c24,42,24,8,1.0,radius1,True,optimal,14,14,0,1014600,False
structural,d8_c24,42,24,8,1.0,explanation,True,optimal,7,7,0,782200,False
